model,format,threshold,served,abstained,coverage,coverage_ci_95,selective_accuracy,selective_accuracy_ci_95,selective_risk,selective_risk_ci_95,t5_tokens_mean,tokens_per_correct_served
Qwen-7B,BF16,>=3/5,480,20,96.00%,"[94.20%, 97.60%]",98.33%,"[97.09%, 99.38%]",1.67%,"[0.62%, 2.91%]",20056.8,21246.6
Qwen-7B,BF16,>=4/5,467,33,93.40%,"[91.20%, 95.60%]",99.57%,"[98.92%, 100.00%]",0.43%,"[0.00%, 1.08%]",20056.8,21566.5
Qwen-7B,BF16,5/5,442,58,88.40%,"[85.40%, 91.20%]",99.77%,"[99.31%, 100.00%]",0.23%,"[0.00%, 0.69%]",20056.8,22740.1
Qwen-7B,FP8,>=3/5,483,17,96.60%,"[94.80%, 98.20%]",98.34%,"[97.11%, 99.38%]",1.66%,"[0.62%, 2.89%]",20038.4,21093.0
Qwen-7B,FP8,>=4/5,463,37,92.60%,"[90.20%, 94.80%]",100.00%,"[100.00%, 100.00%]",0.00%,"[0.00%, 0.00%]",20038.4,21639.7
Qwen-7B,FP8,5/5,444,56,88.80%,"[86.00%, 91.40%]",100.00%,"[100.00%, 100.00%]",0.00%,"[0.00%, 0.00%]",20038.4,22565.7
Qwen-7B,AWQ-4,>=3/5,479,21,95.80%,"[94.00%, 97.40%]",98.54%,"[97.34%, 99.58%]",1.46%,"[0.42%, 2.66%]",21326.6,22591.7
Qwen-7B,AWQ-4,>=4/5,456,44,91.20%,"[88.60%, 93.60%]",99.56%,"[98.89%, 100.00%]",0.44%,"[0.00%, 1.11%]",21326.6,23487.4
Qwen-7B,AWQ-4,5/5,432,68,86.40%,"[83.40%, 89.40%]",99.77%,"[99.29%, 100.00%]",0.23%,"[0.00%, 0.71%]",21326.6,24740.8
Qwen-7B,GPTQ-4,>=3/5,477,23,95.40%,"[93.40%, 97.20%]",98.53%,"[97.41%, 99.58%]",1.47%,"[0.42%, 2.59%]",21436.2,22804.4
Qwen-7B,GPTQ-4,>=4/5,464,36,92.80%,"[90.40%, 95.00%]",99.57%,"[98.91%, 100.00%]",0.43%,"[0.00%, 1.09%]",21436.2,23199.3
Qwen-7B,GPTQ-4,5/5,434,66,86.80%,"[83.80%, 89.80%]",100.00%,"[100.00%, 100.00%]",0.00%,"[0.00%, 0.00%]",21436.2,24696.0
Llama-8B,BF16,>=3/5,470,30,94.00%,"[91.80%, 96.00%]",97.02%,"[95.40%, 98.50%]",2.98%,"[1.50%, 4.60%]",23283.0,25529.6
Llama-8B,BF16,>=4/5,439,61,87.80%,"[84.80%, 90.60%]",99.32%,"[98.42%, 100.00%]",0.68%,"[0.00%, 1.58%]",23283.0,26700.6
Llama-8B,BF16,5/5,381,119,76.20%,"[72.40%, 79.80%]",99.74%,"[99.19%, 100.00%]",0.26%,"[0.00%, 0.81%]",23283.0,30635.5
Llama-8B,FP8,>=3/5,470,30,94.00%,"[91.80%, 96.00%]",96.81%,"[95.19%, 98.30%]",3.19%,"[1.70%, 4.81%]",22754.0,25004.3
Llama-8B,FP8,>=4/5,443,57,88.60%,"[85.80%, 91.40%]",99.10%,"[98.17%, 99.78%]",0.90%,"[0.22%, 1.83%]",22754.0,25915.7
Llama-8B,FP8,5/5,391,109,78.20%,"[74.60%, 81.80%]",100.00%,"[100.00%, 100.00%]",0.00%,"[0.00%, 0.00%]",22754.0,29097.1
Llama-8B,AWQ-4,>=3/5,466,34,93.20%,"[91.00%, 95.40%]",96.35%,"[94.57%, 97.90%]",3.65%,"[2.10%, 5.43%]",23682.3,26372.3
Llama-8B,AWQ-4,>=4/5,423,77,84.60%,"[81.40%, 87.80%]",98.11%,"[96.68%, 99.29%]",1.89%,"[0.71%, 3.32%]",23682.3,28532.9
Llama-8B,AWQ-4,5/5,351,149,70.20%,"[66.20%, 74.20%]",100.00%,"[100.00%, 100.00%]",0.00%,"[0.00%, 0.00%]",23682.3,33735.5
Llama-8B,GPTQ-4,>=3/5,469,31,93.80%,"[91.60%, 95.80%]",97.23%,"[95.69%, 98.69%]",2.77%,"[1.31%, 4.31%]",24202.5,26537.8
Llama-8B,GPTQ-4,>=4/5,432,68,86.40%,"[83.39%, 89.40%]",99.54%,"[98.83%, 100.00%]",0.46%,"[0.00%, 1.17%]",24202.5,28142.5
Llama-8B,GPTQ-4,5/5,377,123,75.40%,"[71.60%, 79.20%]",99.73%,"[99.18%, 100.00%]",0.27%,"[0.00%, 0.82%]",24202.5,32184.2
